"question","reponse_correcte","autres_reponses_fausses","theme","explication"
"Quels sont les droits et devoirs d’un citoyen français ?","Les citoyens ont le droit à l’accès aux emplois publics et à l’éducation, et doivent contribuer au financement des services publics et à la défense nationale.","[]","Droit","Connaissance des droits et devoirs civiques de base."
"Quels sont les symboles de la France ?","Le drapeau, l’hymne national, la Marianne, le 14 juillet, le coq, le sceau...","[]","Symboles","Connaissance des emblèmes de la République."
"Citez les fleuves en France.","La Seine, la Loire, la Garonne, le Rhône et le Rhin.","[]","Géographie","Connaissance des cinq fleuves majeurs."
"Quel est le plus grand fleuve français ?","C’est la Loire.","[]","Géographie","Le plus long fleuve français."
"Énumérez des personnages français connus.","Littéraires : Honoré de Balzac, Victor Hugo, Voltaire, Marcel Proust… Musiciens : Francis Cabrel, Edith Piaf, Jacques Brel, Céline Dion… Peintres : Claude Monet, Paul Cézanne, Henri Matisse, Eugène Delacroix… Scientifiques : Marie Curie, René Descartes, Louis Pasteur, Albert Einstein… Sportifs : Mbappé, Zidane, Pogba, Kevin Mayer, Benzema… Guerriers : Napoléon, Jeanne d’Arc… Architectes : Claude Parent, Jean Michel Wilmotte, Gustave Eiffel…","[]","Culture","Connaissance des grandes figures culturelles, scientifiques et sportives."
"Qui est la Marianne ?","C’est un des symboles de la France, c’est une paysanne au bonnet phrygien qui représente la république et les valeurs de la liberté et de la démocratie. Elle existe sur les pièces de monnaie et apparaît sur le tableau d’Eugène Delacroix.","[]","Symboles","Définition du symbole Marianne."
"Quel est l’hymne national de la France ?","La Marseillaise","[]","Symboles","Identification de l'hymne."
"Qui l’a écrit et quand ?","Il a été écrit par Rouget de Lisle en 1792, quand la France avait déclaré la guerre à l’Autriche.","[]","Histoire","Auteur et date de l'hymne."
"Pourquoi l’hymne est appelé ainsi ?","Parce que le chant a été récupéré par les volontaires marseillais qui se préparaient à rejoindre Paris pour aider les révolutionnaires parisiens.","[]","Histoire","Origine du nom 'La Marseillaise'."
"Récitez-moi le premier couplet de la marseillaise.","Allons ! enfants de la patrie ! Le jour de gloire est arrivé ! Contre nous de la tyrannie, L’étendard sanglant est levé ! Entendez-vous dans les campagnes Mugir ces féroces soldats ? Ils viennent jusque dans vos bras Egorger vos fils, vos compagnes.","[]","Symboles","Vérification des connaissances."
"Quelles sont les 3 types de collectivités en France ?","Les communes (36000, administrées par un maire et un conseil municipal). Les départements (101, administrés par les conseils départementaux [ 96 en France métropolitaine + 5 en outre-mer ]). Les régions (18, administrées par les conseils régionaux).","[]","Institutions","Organisation territoriale de la France."
"Pouvez-vous citer des départements d’outre-mer ?","La Guadeloupe, la Martinique, La Guyane, la Réunion et Mayotte.","[]","Géographie","Connaissance des DROM."
"Il y’a combien de départements en Île-de-France ?","Il y’a 8 départements. Paris (75) – Seine-et-Marne (77) – Yvelines (78) – Essone (91) – Hauts-de-Seine (92) – Seine-Saint-Denis (93) – Val-de-Marne (94) – Val-d’Oise (95).","[]","Géographie","Connaissance des départements d'Île-de-France."
"Dans quel département habitez-vous ?","Le Val d’Oise","[]","Entretien::Vie Quotidienne","Réponse personnelle pour le simulateur."
"Quel est le nom de votre maire ?","Maire de Bezons : Nessrine Menhaouara (2020-2026) Maire Val d’Oise : Claude Noël (ancien : Daniel Desfoux)","[]","Entretien::Vie Quotidienne","Réponse personnelle pour le simulateur (à vérifier et adapter pour l'utilisateur final)."
"Donnez des exemples de départements français.","Charente, Haute Garonne, Hauts-de-Seine, Paris, Seine-et-Marne…","[]","Géographie","Exemples de départements."
"Donnez des exemples de grandes villes françaises.","Paris, Marseille, Lyon, Toulouse, Nice, Nantes, Strasbourg…","[]","Géographie","Exemples de grandes villes."
"Quel est l’emblème de la France ?","L’emblème de la France est le drapeau.","[]","Symboles","Identification de l'emblème."
"Que signifient les 3 couleurs du drapeau français ?","Le bleu désigne généralement la France, étant la couleur des armées de Clovis (son premier roi). Le blanc représente la monarchie de droit divin et le rouge fait référence à la révolte et au sang versé pour la libération du peuple.","[]","Symboles","Signification des couleurs du drapeau."
"Que fête-t-on le 1er mai ?","La fête du Travail.","[]","Société","Identification du jour férié."
"Citez 3 monuments historiques français.","Château de Versailles, Notre-Dame de Paris, Tour Eiffel, Arc de Triomphe…","[]","Culture","Exemples de monuments."
"Citez 3 chaines de montagnes en France.","Les Alpes, les Pyrénées, le Massif des Vosges, la Corse…","[]","Géographie","Exemples de chaînes de montagnes."
"Quel est le point culminant (plus haut) en France ?","Le Mont Blanc (hauteur de 4810 mètres)","[]","Géographie","Identification du point culminant."
"Quels sont les pays frontaliers avec la France ?","8 pays : la Belgique et le Luxembourg (nord), l’Allemagne et la Suisse (est), Italie (sud-est), Monaco et Andorre et l’Espagne (sud).","[]","Géographie","Liste des pays frontaliers."
"Combien de pays comporte l’UE ?","27 pays après le Brexit. L’Allemagne, l’Autriche, la Belgique, la Bulgarie, Chypre, la Croatie, le Danemark, l’Espagne, l’Estonie, la Finlande, la France, la Grèce, la Hongrie, l’Irlande, l’Italie, la Lettonie, la Lituanie, le Luxembourg, Malte, les Pays-Bas, la Pologne, le Portugal, la République tchèque, la Roumanie, la Slovaquie, la Slovénie et la Suède.","[]","Europe","Nombre de pays et liste des membres de l'UE."
"Citez une personne naturalisée.","Marie Curie, Dalida, Léon Gambetta, Andrée Chedid…","[]","Culture","Exemples de Français naturalisés."
"Citez des littéraires français et les titres de leurs écrits.","Baudelaire « Les Fleurs du Mal » Victor Hugo « Les Misérables » Emile Zola « L’argent »","[]","Culture","Exemples d'écrivains et leurs œuvres."
"Quel est l’âge obligatoire de l’école en France.","De 3 à 16 ans, selon le code de l’éducation.","[]","Société","Âge de l'instruction obligatoire."
"Que représente le 11 novembre ?","L’Armistice signée en 1918. Elle marque la fin de la première guerre mondiale.","[]","Histoire","Signification du 11 novembre."
"Qui est Brigitte Bardot ?","C’est une actrice de cinéma, chanteuse et militante des droits animaux.","[]","Culture","Personnalité culturelle."
"C’est quoi l’hôtel de ville ?","C’est le siège des institutions municipales.","[]","Institutions","Définition de l'hôtel de ville."
"Qui a écrit « les 3 mousquetaires » ?","Alexandre Dumas.","[]","Culture","Auteur littéraire."
"Citez un grand événement sportif français.","Roland-Garros, Tour de France, Coupe de France de football…","[]","Culture","Exemples d'événements sportifs."
"Citez des plats typiques français.","Tartiflette, quiche lorraine, steak tartare, cassoulet, coq au vin…","[]","Culture","Exemples de plats."
"A-t-on le droit de porter des signes religieux dans les endroits publics ?","Oui, sauf dans les écoles, les collèges et les lycées publics selon la loi de 2004.","[]","Valeurs","Législation sur les signes religieux (laïcité)."
"Quel événement de l’histoire de la France vous a-t-il marqué ?","L’événement qui m’a le plus marqué est la Révolution française qui a eu lieu du 5 mai 1789 au 9 novembre 1799. C’est une période de bouleversements sociaux et politiques. Personnellement, je trouve que ça a complétement bouleversé la société et a permis de créer une nouvelle France. C’est suite à cette révolution que naît le principe de la séparation des pouvoirs et que le peuple entre dans la vie politique (c’est-à-dire qu’ils ont maintenant le droit de voter et élire leurs représentants). Je trouve aussi que la façon par laquelle le peuple s’est battu pour la liberté et l’égalité et a pu finalement les obtenir est fascinante.","[]","Entretien::Histoire","Jugement personnel et analyse d'un événement historique."
"A quelle date précise a eu la révolution ?","Elle a eu lieu en 1789.","[]","Histoire","Date de la Révolution française."
"Quel événement marque la révolution et dans quel contexte a-t-elle émergé ?","La révolution a été marquée par la prise de la Bastille, à la suite de plusieurs facteurs sociaux, économiques et politiques. Par exemple, la crise politique se caractérise par le fait que le peuple ne voulait plus être gouverné par des personnes qui donnaient énormément de pouvoirs aux riches par rapport à la majorité de la population qui était très pauvre et ne disposait que de peu de droits. Ensuite, la crise économique en raison des mauvaises récoltes de 1788, et une crise sociale suite à l’inflation des prix notamment ceux du pain ainsi que la hausse des impôts.","[]","Histoire","Causes et événements marquants de la Révolution."
"Qui était le roi pendant la Révolution ?","Louis 16","[]","Histoire","Identification du roi."
"A quoi servait la Bastille avant sa démolition ?","Elle servait comme prison d’Etat. Des personnalités comme Voltaire et Bernard Palissy y étaient emprisonnées.","[]","Histoire","Fonction historique de la Bastille."
"Qui est Jean Moulin ?","Jean Moulin est un haut fonctionnaire et résistant français lors de la 2nde guerre mondiale. C’est le plus jeune préfet de France en 1937.","[]","Histoire","Personnalité historique de la Résistance."
"A quelles époques ont été bâties les cathédrales gothiques ?","Au Moyen-Âge.","[]","Histoire","Période des constructions gothiques."
"Quand a eu lieu la 5ème république et quel fait marque-t-elle ?","La 5ème république a été fondée en 1958 par Charles de Gaulle et a marqué la séparation entre le pouvoir exécutif, législatif et judiciaire.","[]","Institutions","Date et fondement de la Ve République."
"Quand a eu lieu la déclaration des droits de l’homme et du citoyen ?","26 août 1789","[]","Histoire","Date précise de la DDHC."
"Quelles sont les dates des deux guerres mondiales ?","1ère guerre mondiale : de 1914 au 11 novembre 1918. 2ème guerre mondiale : de 1939 au 8 mai 1945.","[]","Histoire","Dates clés des deux guerres."
"Dans quelle république sommes-nous ?","Nous sommes sous la 5ème république (depuis le 4 octobre 1958).","[]","Institutions","République actuelle."
"En quelle année est fondée la 1ère république ?","En 1792 (du 22 septembre 1792 au 18 mai 1804)","[]","Histoire","Date de la 1ère République."
"Comment appelait-on les soldats français pendant la 1ère guerre mondiale ?","Les poilus (parce qu’ils n’avaient pas de rasoir ni tout ce qui participait à l’hygiène de façon générale).","[]","Histoire","Nom des soldats de la Première Guerre."
"Qui sont les alliés pendants les 2 guerres mondiales ?","1ère guerre mondiale : France, Angleterre, Etats-Unis Russie. 2ème guerre mondiale : France, Angleterre, Etats-Unis, Union Soviétique.","[]","Histoire","Composition des Alliés."
"Citez des rois français.","Charlemagne, Clovis, Louis 5, Louis 6…","[]","Histoire","Exemples de rois."
"Citez des reines françaises.","Anne de Bretagne, Blanche de Castille, Anne d’Autriche…","[]","Histoire","Exemples de reines."
"Citez les présidents de la 5ème république dans l’ordre.","Charles de Gaulle, Georges Pompidou, Valéry Giscard d’Estaing, François Mitterrand, Jacques Chirac, Nicolas Sarkozy, François Hollande, Emmanuel Macron.","[]","Institutions","Liste chronologique des présidents."
"Citez des personnes qui ont marqué l’histoire de la France.","Napoléon Bonaparte, Jeanne d’Arc, René Descartes, Voltaire, Blaise Pascal…","[]","Histoire","Exemples de figures historiques."
"Qui a instauré le code civil en France et quand ?","Napoléon Bonaparte (le 21 mars 1804).","[]","Histoire","Instauration du Code Civil."
"Qui a construit le château de Versailles ?","Louis 14","[]","Histoire","Constructeur de Versailles."
"Qui a construit l’Arc de Triomphe ?","Napoléon 1er","[]","Histoire","Constructeur de l'Arc de Triomphe."
"Que veut dire la guerre des 100 ans ?","La guerre de 100 Ans est un conflit qui opposa le royaume de France au royaume d'Angleterre à la fin du Moyen Âge. Elle commença en 1337 lorsque le roi d'Angleterre réclama la couronne de France et se termina en 1453 par la victoire française.","[]","Histoire","Définition de la Guerre de Cent Ans."
"Quelle est la bataille de Verdun ?","La bataille de Verdun est une bataille qui s'est déroulée du 21 février au 18 décembre 1916 dans la région de Verdun en Lorraine, durant la Première Guerre mondiale. Elle a opposé les armées française et allemande.","[]","Histoire","Définition de la Bataille de Verdun."
"Quand a été construite la Tour Eiffel et pourquoi ?","Elle a été construite en 1889 pour être une des attractions principales de l'Exposition universelle de Paris.","[]","Culture","Date et raison de la construction de la Tour Eiffel."
"En quelle année les femmes ont eu le droit de voter en France ?","En 1944 (le 21 avril).","[]","Histoire","Date du droit de vote des femmes."
"A quel homme politique se rattache la création de l’école publique, gratuite et obligatoire ? et en quelle année ?","Jules Ferry (c’est un homme d’Etat français). L’école est devenue publique en 1881 et laïque en 1882.","[]","Histoire","Rôle de Jules Ferry."
"Citez 3 pays qui font partie de l’Empire colonial français.","La Tunisie, l’Algérie, la Côte d’Ivoire, le Mali, le Sénégal…","[]","Histoire","Exemples de pays de l'Empire colonial."
"En quelle année a été aboli l’esclavage en France ?","En 1848 (le 27 avril)","[]","Histoire","Date de l'abolition de l'esclavage."
"Qui est voltaire ?","Voltaire est un poète, écrivain, dramaturge, historien et philosophe français né le 21 novembre 1694 et décédé le 30 mai 1778.","[]","Culture","Identification de Voltaire."
"Qu’a-t-il écrit ?","Il a écrit « traité sur la tolérance » et « Œdipe »","[]","Culture","Œuvres de Voltaire."
"Qu’est-ce que la philosophie des lumières ?","C’est un mouvement philosophique qui a apparait dans le 18ème siècle en Europe où des philosophes européens avaient pour objectif de combattre l’obscurantisme, l’ignorance et diffuser les connaissances.","[]","Culture","Définition des Lumières."
"Citez quelques philosophes des Lumières ?","Montesquieu, Voltaire, Rousseau, Diderot…","[]","Culture","Exemples de philosophes des Lumières."
"Quel est le nom du président précédent et actuel ?","Précédent : François Hollande. Actuel : Emmanuel Macron.","[]","Institutions","Présidents précédents et actuels (à adapter par l'utilisateur final)."
"Citez quelques ministres actuels ?","Jean Castex (premier ministre), Bruno Le Maire (ministre de l’Économie), Gérald Darmanin (ministre de l’Intérieur)","[]","Institutions","Exemples de ministres (à vérifier et adapter par l'utilisateur final)."
"Qu’est-ce que le pouvoir exécutif ?","Le pouvoir exécutif désigne le pouvoir chargé d'exécuter les lois, de définir les règles nécessaires à leur application et de gérer les affaires courantes de l'Etat. Il est détenu par le Président de la République, le Premier ministre et son gouvernement.","[]","Institutions","Définition et détenteurs du pouvoir exécutif."
"Pour combien de temps est élu le Président et par quel scrutin ?","Le Président est élu pour 5 ans, par un scrutin uninominal majoritaire à deux tours.","[]","Institutions","Durée et mode de scrutin du Président."
"Qui a le droit de voter ?","Les citoyens français majeurs.","[]","Droit","Condition pour voter."
"Quel est le siège de la présidence ?","C’est l’Elysée.","[]","Institutions","Siège de la Présidence."
"Qu’est-ce que le parlement ?","C’est la principale institution du pouvoir législatif. Il est composé de deux chambres : l’Assemblée nationale et le Sénat. Son rôle est de discuter et de voter les lois proposées par le Gouvernement et aussi, de contrôler l'action de ce dernier.","[]","Institutions","Définition et rôle du Parlement."
"Qu’est-ce que l’Assemblée nationale ?","C’est la chambre basse du Parlement et est composée de 577 députés. Son rôle est de débattre, de proposer, d’amender et de voter les lois, et de contrôler l'action du Gouvernement.","[]","Institutions","Définition et rôle de l'Assemblée nationale."
"Pour combien de temps sont élus les députés et par quel scrutin ?","Ils sont élus au suffrage universel direct pour un mandat de cinq ans lors d'élections législatives.","[]","Institutions","Durée et mode de scrutin des députés."
"Quel est le siège de l’Assemblée nationale ?","Palais de Bourbon à Paris.","[]","Institutions","Siège de l'Assemblée nationale."
"Quel est le nom du président actuel de l’Assemblée nationale ?","Richard Ferrand (depuis septembre 2018).","[]","Institutions","Président de l'Assemblée nationale (à vérifier et adapter par l'utilisateur final)."
"Qu’est-ce que le Sénat ?","Le Sénat constitue la chambre haute du Parlement français où siègent 348 sénateurs et détiennent le pouvoir législatif avec l'Assemblée nationale. Il défend les intérêts des communes, des départements et des régions, ce qu'on appelle les « collectivités territoriales ».","[]","Institutions","Définition et rôle du Sénat."
"Comment sont élus les sénateurs ?","Ils sont élus au suffrage universel indirect par 150 000 grands électeurs (maires, conseillers généraux…)","[]","Institutions","Mode de scrutin des sénateurs."
"Qui a le pouvoir de diriger la France en cas de décès ou d’incapacité du Président ?","Président du Sénat.","[]","Institutions","Succession présidentielle."
"Quel est le nom du président actuel du Sénat ?","Gérard Larcher.","[]","Institutions","Président du Sénat (à vérifier et adapter par l'utilisateur final)."
"Qu’est-ce que la cohabitation ?","La cohabitation politique désigne la situation de coexistence d'un chef de l'Etat et d'un chef de gouvernement (Premier ministre) appartenant à une majorité parlementaire qui lui est politiquement opposée.","[]","Institutions","Définition de la cohabitation."
"Comment devient-on ministre ou premier ministre ?","Le Premier ministre est généralement élu par le Parlement, éventuellement sur proposition du chef de l'État, ou bien nommé directement par le chef de l'État. Et sur la proposition du Premier ministre, le président nomme les autres membres du Gouvernement et met fin à leurs fonctions.","[]","Institutions","Nomination des ministres."
"Où sont les bureaux du 1er ministre ?","Hôtel de Matignon.","[]","Institutions","Siège du Premier ministre."
"Quels sont les 4 premiers personnages de l’état ?","Le président, le premier ministre, le président du Sénat et le président de l’Assemblée nationale.","[]","Institutions","Hiérarchie de l'État."
"Quels sont les principaux responsables de l’Etat ?","Le Président de la République qui nomme le Gouvernement, dirigé par le Premier ministre. Le Parlement, composé de l’Assemblée nationale et du Sénat. Les magistrats (ils exercent la justice).","[]","Institutions","Séparation et attribution des pouvoirs."
"Comment fonctionnent les élections municipales ?","Les élections municipales ont lieu au suffrage universel direct à deux tours. Le mode de vote dépend toutefois de la taille de la commune. Dans les communes de moins de mille habitants, les conseillers municipaux sont élus par un vote majoritaire et plurinominal à deux tours. Pour les communes de plus de 1 000 habitants, les conseillers municipaux sont élus au vote proportionnel à deux tours.","[]","Droit","Mode de scrutin municipal."
"Donnez le nom d’une personnalité féminine politique.","Simone Veil, Martine Aubry, Rachida Dati, Sibeth Ndiaye…","[]","Culture","Exemples de femmes politiques."
"Qui est Simone Veil ?","C’est une magistrate et une femme d'État française. Elle est ministre d'État, ministre des Affaires sociales, de la Santé de 1993 à 1995.","[]","Histoire","Biographie de Simone Veil."
"Qu’est-ce que la loi Veil ?","C’est le droit à l’avortement et la contraception pour les femmes. Cette loi a été préparée et défendue par Simone Veil ministre de la Santé sous la présidence de Valery Giscard d’Estaing.","[]","Droit","Contenu de la Loi Veil."
"Qui décide de vous octroyer la nationalité française ?","Le ministre de l’Intérieur.","[]","Institutions","Autorité de décision pour la naturalisation."
"Qui gère les relations entre l’Etat et les institutions religieuses ?","C’est le ministère des cultes, qui fait partie du ministère de l’intérieur.","[]","Institutions","Gestion des cultes."
"Qui est le chef de l’armée ?","Le président de la République.","[]","Institutions","Chef de l'armée."
"C’est quoi la dernière loi qui a marqué l’opinion publique ?","La loi pour la sécurité globale et le séparatisme. (à détailler et mieux comprendre)","[]","Actualité","Exemple de loi d'actualité (à adapter par l'utilisateur final)."
"Comment et qui forme le gouvernement ?","Les membres du Gouvernement sont nommés par le président de la République et sont placés sous la conduite politique du Premier ministre qui traite les fonctions et les attributions constitutionnelles du gouvernement.","[]","Institutions","Formation du Gouvernement."
"Quels types de pouvoirs existent en France ?","Législatif : exercé par le Parlement qui est composé de l'Assemblée nationale et du Sénat. Exécutif : détenu par le chef de l'État et par les membres du Gouvernement qui exécutent les lois votées au Parlement Judiciaire (juridictionnel) : à qui il revient de trancher les litiges qui peuvent naître des relations entre les acteurs de la vie quotidienne entre eux, ou avec les entités publiques.","[]","Institutions","Les trois pouvoirs."
"Quels sont les océans et mers qui bordent la France ?","Océan Atlantique, la mer Méditerranée, la Manche, la mer du Nord, le Littoral.","[]","Géographie","Mers et océans bordant la France."
"Que représente la France pour vous ?","La France est un pays qui m’a accueilli et m’a permis d’atteindre plusieurs objectifs que ça soit au niveau personnel ou professionnel. C’est l’endroit où je me sens dans mon élément, où j’arrive à avancer et progresser jour après jour.","[]","Entretien::Motivation","Réponse très personnelle pour le simulateur."
"1789 vous fait penser à quoi ?","A la Révolution française (la prise de la Bastille).","[]","Histoire","Événement de 1789."
"Quel événement marque l’année 1905 ?","La séparation de l’Eglise catholique de France du pouvoir politique, ce qui a mené à l’instauration de la laïcité.","[]","Histoire","Événement de 1905."
"En quelle année a été abolie la peine de mort ?","En 1981 (18 septembre)","[]","Histoire","Date de l'abolition de la peine de mort."
"Qui est le garde des sceaux ?","C’est le ministre de la Justice : Eric Dupond-Moretti.","[]","Institutions","Identification du Garde des Sceaux (à vérifier et adapter par l'utilisateur final)."
"De quand date l’UE ?","Elle date du 1er novembre 1993.","[]","Europe","Date de création de l'UE."
"Quelles sont les dates des élections municipales et présidentielles ?","Présidentielles : 2022. Municipales : 2026.","[]","Institutions","Dates des élections (à vérifier et adapter par l'utilisateur final)."
"Quel président est récemment décédé ?","Giscard d’Estaing (mort par le covid-19)","[]","Histoire","Identification du président décédé (à vérifier et adapter par l'utilisateur final)."
"De quand date la constitution ?","3 juin 1958","[]","Institutions","Date de la Constitution."
"On est sur quel régime ?","Régime semi-présidentiel","[]","Institutions","Type de régime politique."
"Où vous voyez-vous dans 10 ans ?","Dans dix ans ? Cela nous mène en 2031, ce qui veut dire que j'aurai tout juste 37 ans. Si tout se passe bien, j'aurai donc une longue expérience professionnelle dans mon domaine, ce qui me permettra de me lancer peut-être dans l’entrepreneuriat. Disons que je me vois épanouit dans ma propre boîte gérant une équipe compétente, et progressant jour après jour. (à revoir)","[]","Entretien::Projection","Réponse très personnelle pour le simulateur (à adapter par l'utilisateur final)."
"Que faites-vous de votre temps libre ?","Je n’ai pas vraiment de temps libre, mais pendant le weekend par exemple, je me concentre sur ma préparation physique pour rester en forme et être prêts pour les compétitions d’escrime. De plus, je voyage dès que j’ai l’occasion afin de découvrir les différentes villes de France (et en Europe également), mais vu le contexte actuel il est quasi impossible de voyager.","[]","Entretien::Vie Quotidienne","Réponse très personnelle pour le simulateur (à adapter par l'utilisateur final)."
"L’administration peut-elle refuser la nationalité a une personne ne respectant pas l’égalité homme-femme ?","Oui même si la personne est mariée avec un Français(e), car l’égalité homme-femme fait partie des valeurs essentielles de la République.","[]","Droit","Égalité homme-femme et naturalisation."
"Pourquoi les élèves n’ont pas le droit de porter des signes religieux au sein des écoles ?","C’est interdit parce que l’école est considérée comme une institution publique qui forme tous les citoyens, elle doit donc être neutre face aux religions.","[]","Valeurs","Neutralité de l'école (Loi 2004)."
"Quelle est l’importance économique de la France ?","L’économie française a des secteurs d’excellence comme l’aéronautique ou le luxe. La France compte également une centaine de grandes multinationales de plus de 10000 salariés, et est aussi célèbre pour ses monuments et sa culture (c’est la 1ère destination touristique au monde).","[]","Société","Importance économique de la France."
"Comment vivez-vous cette liberté religieuse ?","Personnellement, je trouve que cette liberté religieuse m’a permis de bien m’intégrer au sein de la société vu que je ne ressens pas de parité entre moi et les autres citoyens français que ça soit au niveau professionnel, par exemple lors des entretiens d’embauche, ou au niveau personnel avec mes amis et entourage en général. Ça permet aussi d’assurer la paix car chacun profite de sa liberté sans pour autant juger, discriminer ou faire du mal à l’autre à cause de son appartenance ethnique.","[]","Entretien::Valeurs","Jugement personnel sur la liberté religieuse."
